date,stock,index,*Beta,ASR,profit
"2017-11-08,三",0.0041 ,0.0036 ,0.003324632,0.0007 ,0.0041 
"2017-11-09,四",-0.0175 ,0.0014 ,0.001311098,-0.0188 ,-0.0175 
"2017-11-10,五",0.1000 ,0.0044 ,0.004069895,0.0960 ,0.1000 
"2017-11-13,一",0.0346 ,-0.0053 ,-0.004885357,0.0395 ,0.0346 
"2017-11-14,二",-0.0502 ,-0.0079 ,-0.007258361,-0.0429 ,-0.0502 
"2017-11-15,三",0.0695 ,-0.0010 ,-0.000885068,0.0704 ,0.0695 
"2017-11-16,四",-0.0034 ,-0.0048 ,-0.004426889,0.0010 ,-0.0034 
"2017-11-17,五",0.0463 ,0.0028 ,0.002583482,0.0437 ,0.0463 
"2017-11-20,一",-0.0010 ,0.0053 ,0.004913616,-0.0059 ,-0.0010 
"2017-11-21,二",0.0141 ,0.0059 ,0.005389794,0.0087 ,0.0141 
"2017-11-22,三",-0.0613 ,-0.0229 ,-0.021084739,-0.0402 ,-0.0613 
"2017-11-23,四",-0.0536 ,0.0006 ,0.000522023,-0.0541 ,-0.0536 
"2017-11-24,五",-0.0267 ,-0.0094 ,-0.008674402,-0.0180 ,-0.0267 
"2017-11-27,一",0.0885 ,0.0034 ,0.003168445,0.0854 ,0.0885 
"2017-11-28,二",0.0013 ,0.0013 ,0.001160266,0.0002 ,0.0013 
"2017-11-29,三",-0.0183 ,-0.0062 ,-0.005702983,-0.0126 ,-0.0183 
"2017-11-30,四",0.0437 ,0.0001 ,0.000119379,0.0436 ,0.0437 
"2017-12-01,五",0.0000 ,0.0000 ,0,0.0000 ,0.0000 
