date,-,stock,-,index,*beta,ASR,profit,,,
"2016-08-09,二",5.38,-0.001858736,3025.68,-0.002290394,-0.002697239,0.000838503,-0.001858736,,,
"2016-08-10,三",5.37,-0.013035382,3018.75,-0.005336646,-0.0062846,-0.006750782,-0.013035382,,,
"2016-08-11,四",5.3,0.013207547,3002.64,0.015995924,0.018837295,-0.005629748,0.013207547,,,
"2016-08-12,五",5.37,0.018621974,3050.67,0.024430699,0.028770348,-0.010148374,0.018621974,,,
"2016-08-15,一",5.47,0.012797075,3125.2,-0.00485089,-0.005712558,0.018509633,0.012797075,,,
"2016-08-16,二",5.54,-0.007220217,3110.04,-0.000154339,-0.000181754,-0.007038462,-0.007220217,,,
"2016-08-17,三",5.5,0.003636364,3109.56,-0.00175266,-0.002063986,0.00570035,0.003636364,,,
"2016-08-18,四",5.52,0.010869565,3104.11,0.001285393,0.001513718,0.009355847,0.010869565,,,
"2016-08-19,五",5.58,-0.016129032,3108.1,-0.007493324,-0.008824371,-0.007304662,-0.016129032,,,
"2016-08-22,一",5.49,-0.001821494,3084.81,0.001588428,0.001870583,-0.003692076,-0.001821494,,,
"2016-08-23,二",5.48,-0.01459854,3089.71,-0.001239599,-0.00145979,-0.01313875,-0.01459854,,,
"2016-08-24,三",5.4,-0.014814815,3085.88,-0.005687195,-0.006697417,-0.008117398,-0.014814815,,,
"2016-08-25,四",5.32,0.003759398,3068.33,0.000645302,0.000759928,0.002999471,0.003759398,,,
"2016-08-26,五",5.34,0.001872659,3070.31,-9.1196E-05,-0.000107395,0.001980054,0.001872659,,,
"2016-08-29,一",5.35,-0.005607477,3070.03,0.001514643,0.001783691,-0.007391167,-0.005607477,,,
"2016-08-30,二",5.32,-0.005639098,3074.68,0.003515813,0.00414033,-0.009779428,-0.005639098,,,
"2016-08-31,三",5.29,-0.011342155,3085.49,-0.007188485,-0.008465383,-0.002876772,-0.011342155,,,
"2016-09-01,四",5.23,0.007648184,3063.31,0.001318835,0.001553101,0.006095083,0.007648184,,,
"2016-09-02,五",5.27,0.007590133,3067.35,0.001548568,0.001823642,0.005766491,0.007590133,,,
"2016-09-05,一",5.31,0.026365348,3072.1,0.006057746,0.007133789,0.019231559,0.026365348,,,
"2016-09-06,二",5.45,0.025688073,3090.71,0.000394731,0.000464848,0.025223226,0.025688073,,,
"2016-09-07,三",5.59,-0.005366726,3091.93,0.001300159,0.001531107,-0.006897834,-0.005366726,,,
"2016-09-08,四",5.56,-0.001798561,3095.95,-0.005520115,-0.006500659,0.004702097,-0.001798561,,,
"2016-09-09,五",5.55,-0.003603604,3078.86,-0.01847437,-0.021755991,0.018152388,-0.003603604,,,
"2016-09-12,一",5.53,-0.005424955,3021.98,0.000506291,0.000596223,-0.006021178,-0.005424955,,,
"2016-09-13,二",5.5,0.001818182,3023.51,-0.006833118,-0.008046891,0.009865073,0.001818182,,,
"2016-09-14,三",5.51,0.021778584,3002.85,0.007725994,0.00909837,0.012680215,0.021778584,,,
"2016-09-19,一",5.63,0.001776199,3026.05,-0.001007915,-0.001186951,0.00296315,0.001776199,,,
"2016-09-20,二",5.64,-0.007092199,3023,0.000949388,0.001118029,-0.008210227,-0.007092199,,,
"2016-09-21,三",5.6,0,3025.87,0.005433148,0.006398244,-0.006398244,0,,,
"2016-09-22,四",5.6,0,3042.31,-0.002764347,-0.003255381,0.003255381,0,,,
"2016-09-23,五",5.6,-0.026785714,3033.9,-0.01762418,-0.020754781,-0.006030933,-0.026785714,,,
"2016-09-26,一",5.45,0,2980.43,0.005952161,0.00700945,-0.00700945,0,,,
"2016-09-27,二",5.45,-0.00733945,2998.17,-0.003438764,-0.004049595,-0.003289854,-0.00733945,,,
"2016-09-28,三",5.41,0.003696858,2987.86,0.003554383,0.004185752,-0.000488894,0.003696858,,,
"2016-09-29,四",5.43,0.007366483,2998.48,0.002074384,0.002442859,0.004923623,0.007366483,,,
"2016-09-30,五",5.47,0.009140768,3004.7,0.01445735,0.017025424,-0.007884656,0.009140768,,,
"2016-10-10,一",5.52,0.012681159,3048.14,0.005613259,0.006610348,0.006070811,0.012681159,,,
"2016-10-11,二",5.59,-0.007155635,3065.25,-0.002202104,-0.002593266,-0.004562369,-0.007155635,,,
"2016-10-12,三",5.55,0.027027027,3058.5,0.000931829,0.001097351,0.025929676,0.027027027,,,
"2016-10-13,四",5.7,-0.005263158,3061.35,0.000803567,0.000946305,-0.006209463,-0.005263158,,,
"2016-10-14,五",5.67,-0.019400353,3063.81,-0.007389492,-0.008702095,-0.010698258,-0.019400353,,,
"2016-10-17,一",5.56,0.021582734,3041.17,0.014043937,0.016538576,0.005044158,0.021582734,,,
"2016-10-18,二",5.68,-0.001760563,3083.88,0.000272384,0.000320768,-0.002081331,-0.001760563,,,
"2016-10-19,三",5.67,-0.001763668,3084.72,-8.42864E-05,-9.92583E-05,-0.00166441,-0.001763668,,,
"2016-10-20,四",5.66,0.037102473,3084.46,0.002100854,0.002474031,0.034628443,0.037102473,,,
"2016-10-21,五",5.87,0.008517888,3090.94,0.012070762,0.014214903,-0.005697016,0.008517888,,,
"2016-10-24,一",5.92,-0.011824324,3128.25,0.001179573,0.001389102,-0.013213426,-0.011824324,,,
"2016-10-25,二",5.85,0,3131.94,-0.004990517,-0.005876988,0.005876988,0,,,
"2016-10-26,三",5.85,0.008547009,3116.31,-0.001270734,-0.001496455,0.010043464,0.008547009,,,
"2016-10-27,四",5.9,0.015254237,3112.35,-0.002596109,-0.003057258,0.018311496,0.015254237,,,
"2016-10-28,五",5.99,-0.01836394,3104.27,-0.001217678,-0.001433975,-0.016929965,-0.01836394,,,
"2016-10-31,一",5.88,0.003401361,3100.49,0.007079526,0.008337069,-0.004935709,0.003401361,,,
"2016-11-01,二",5.9,-0.003389831,3122.44,-0.006312371,-0.007433644,0.004043813,-0.003389831,,,
"2016-11-02,三",5.88,0,3102.73,0.0084474,0.00994792,-0.00994792,0,,,
"2016-11-03,四",5.88,0.011904762,3128.94,-0.001156941,-0.00136245,0.013267212,0.011904762,,,
"2016-11-04,五",5.95,-0.008403361,3125.32,0.002562938,0.003018195,-0.011421556,-0.008403361,,,
"2016-11-07,一",5.9,0.03220339,3133.33,0.004646813,0.005472232,0.026731158,0.03220339,,,
"2016-11-08,二",6.09,0.001642036,3147.89,-0.006200979,-0.007302465,0.008944501,0.001642036,,,
