date,..,..,stock,index,*beta,ASR,profit,,,,
"2016-10-10,一",23.77,3048.14,0.011358856,0.005613259,0.005634882,0.005723974,0.011358856,,,,
"2016-10-11,二",24.04,3065.25,-0.007071547,-0.002202104,-0.002210587,-0.004860961,-0.007071547,,,,
"2016-10-12,三",23.87,3058.5,-0.012987013,0.000931829,0.000935419,-0.013922432,-0.012987013,,,,
"2016-10-13,四",23.56,3061.35,-0.009337861,0.000803567,0.000806662,-0.010144523,-0.009337861,,,,
"2016-10-14,五",23.34,3063.81,-0.014138817,-0.007389492,-0.007417957,-0.006720861,-0.014138817,,,,
"2016-10-17,一",23.01,3041.17,0.015645372,0.014043937,0.014098034,0.001547337,0.015645372,,,,
"2016-10-18,二",23.37,3083.88,-0.002567394,0.000272384,0.000273433,-0.002840827,-0.002567394,,,,
"2016-10-19,三",23.31,3084.72,-0.011583012,-8.42864E-05,-8.46111E-05,-0.0114984,-0.011583012,,,,
"2016-10-20,四",23.04,3084.46,0.008680556,0.002100854,0.002108946,0.006571609,0.008680556,,,,
"2016-10-21,五",23.24,3090.94,-0.00172117,0.012070762,0.012117258,-0.013838429,-0.00172117,,,,
"2016-10-24,一",23.2,3128.25,0.005172414,0.001179573,0.001184117,0.003988297,0.005172414,,,,
"2016-10-25,二",23.32,3131.94,0.007718696,-0.004990517,-0.005009741,0.012728437,0.007718696,,,,
"2016-10-26,三",23.5,3116.31,-0.006382979,-0.001270734,-0.001275629,-0.00510735,-0.006382979,,,,
"2016-10-27,四",23.35,3112.35,0.011991435,-0.002596109,-0.002606109,0.014597544,0.011991435,,,,
"2016-10-28,五",23.63,3104.27,0.005924672,-0.001217678,-0.001222368,0.00714704,0.005924672,,,,
"2016-10-31,一",23.77,3100.49,0.002103492,0.007079526,0.007106797,-0.005003305,0.002103492,,,,
"2016-11-01,二",23.82,3122.44,0.010915197,-0.006312371,-0.006336686,0.017251884,0.010915197,,,,
"2016-11-02,三",24.08,3102.73,0.01910299,0.0084474,0.008479939,0.010623051,0.01910299,,,,
"2016-11-03,四",24.54,3128.94,-0.001222494,-0.001156941,-0.001161398,-6.1096E-05,-0.001222494,,,,
"2016-11-04,五",24.51,3125.32,-0.004895961,0.002562938,0.00257281,-0.007468771,-0.004895961,,,,
"2016-11-07,一",24.39,3133.33,-0.003690037,0.004646813,0.004664713,-0.00835475,-0.003690037,,,,
"2016-11-08,二",24.3,3147.89,-0.004526749,-0.006200979,-0.006224865,0.001698116,-0.004526749,,,,
"2016-11-09,三",24.19,3128.37,0.003307152,0.013716408,0.013769244,-0.010462092,0.003307152,,,,
"2016-11-10,四",24.27,3171.28,-0.008240626,0.007807573,0.007837648,-0.016078274,-0.008240626,,,,
"2016-11-11,五",24.07,3196.04,-0.005816369,0.004483674,0.004500945,-0.010317314,-0.005816369,,,,
"2016-11-14,一",23.93,3210.37,0.004178855,-0.001052838,-0.001056894,0.005235749,0.004178855,,,,
"2016-11-15,二",24.03,3206.99,-0.002496879,-0.00060181,-0.000604129,-0.00189275,-0.002496879,,,,
"2016-11-16,三",23.97,3205.06,0.000834376,0.001057703,0.001061777,-0.0002274,0.000834376,,,,
"2016-11-17,四",23.99,3208.45,-0.004585244,-0.004859044,-0.004877761,0.000292517,-0.004585244,,,,
"2016-11-18,五",23.88,3192.86,-0.003768844,0.007920798,0.007951309,-0.011720154,-0.003768844,,,,
"2016-11-21,一",23.79,3218.15,0.005464481,0.009384274,0.009420422,-0.003955941,0.005464481,,,,
"2016-11-22,二",23.92,3248.35,-0.002926421,-0.002219588,-0.002228138,-0.000698283,-0.002926421,,,,
"2016-11-23,三",23.85,3241.14,0.003354298,0.00018512,0.000185833,0.003168465,0.003354298,,,,
"2016-11-24,四",23.93,3241.74,0.013372336,0.006231222,0.006255224,0.007117112,0.013372336,,,,
"2016-11-25,五",24.25,3261.94,-0.007835052,0.004616884,0.004634669,-0.01246972,-0.007835052,,,,
"2016-11-28,一",24.06,3277,0.000831255,0.00180653,0.001813489,-0.000982234,0.000831255,,,,
"2016-11-29,二",24.08,3282.92,-0.011627907,-0.01001852,-0.010057112,-0.001570795,-0.011627907,,,,
"2016-11-30,三",23.8,3250.03,-0.030672269,0.007163011,0.007190603,-0.037862872,-0.030672269,,,,
"2016-12-01,四",23.07,3273.31,-0.007368877,-0.009003119,-0.009037799,0.001668922,-0.007368877,,,,
"2016-12-02,五",22.9,3243.84,0.005240175,-0.012062864,-0.01210933,0.017349505,0.005240175,,,,
"2016-12-05,一",23.02,3204.71,0.003909644,-0.001578926,-0.001585008,0.005494652,0.003909644,,,,
"2016-12-06,二",23.11,3199.65,0.008654262,0.007060147,0.007087343,0.001566919,0.008654262,,,,
"2016-12-07,三",23.31,3222.24,-0.005577006,-0.002132057,-0.00214027,-0.003436736,-0.005577006,,,,
"2016-12-08,四",23.18,3215.37,0.002157032,0.005445719,0.005466696,-0.003309664,0.002157032,,,,
"2016-12-09,五",23.23,3232.88,-0.00602669,-0.024717899,-0.024813112,0.018786423,-0.00602669,,,,
"2016-12-12,一",23.09,3152.97,0.006929407,0.000656524,0.000659053,0.006270354,0.006929407,,,,
"2016-12-13,二",23.25,3155.04,-0.021075269,-0.004598991,-0.004616706,-0.016458563,-0.021075269,,,,
"2016-12-14,三",22.76,3140.53,0.003075571,-0.007275842,-0.007303869,0.01037944,0.003075571,,,,
"2016-12-15,四",22.83,3117.68,0.00131406,0.001699982,0.00170653,-0.00039247,0.00131406,,,,
"2016-12-16,五",22.86,3122.98,-0.003499563,-0.001569014,-0.001575058,-0.001924504,-0.003499563,,,,
"2016-12-19,一",22.78,3118.08,-0.010096576,-0.004874795,-0.004893573,-0.005203003,-0.010096576,,,,
"2016-12-20,二",22.55,3102.88,0.002660754,0.011134817,0.011177708,-0.008516954,0.002660754,,,,
"2016-12-21,三",22.61,3137.43,0.000442282,0.0006789,0.000681515,-0.000239233,0.000442282,,,,
"2016-12-22,四",22.62,3139.56,-0.00530504,-0.009367555,-0.009403639,0.004098599,-0.00530504,,,,
"2016-12-23,五",22.5,3110.15,0.012444444,0.003993377,0.004008759,0.008435685,0.012444444,,,,
"2016-12-26,一",22.78,3122.57,0.001755926,-0.00253317,-0.002542928,0.004298854,0.001755926,,,,
"2016-12-27,二",22.82,3114.66,0.003067485,-0.003987594,-0.004002954,0.007070439,0.003067485,,,,
"2016-12-28,三",22.89,3102.24,0.002621232,-0.001979215,-0.001986839,0.004608071,0.002621232,,,,
"2016-12-29,四",22.95,3096.1,0.008278867,0.002435322,0.002444703,0.005834164,0.008278867,,,,
"2016-12-30,五",23.14,3103.64,0.022904062,0.010400691,0.010440754,0.012463308,0.022904062,,,,
"2017-01-03,二",23.67,3135.92,0.004647233,0.007292916,0.007321008,-0.002673775,0.004647233,,,,
"2017-01-04,三",23.78,3158.79,-0.007148865,0.002095739,0.002103812,-0.009252677,-0.007148865,,,,
"2017-01-05,四",23.61,3165.41,-0.011012283,-0.003503496,-0.003516991,-0.007495292,-0.011012283,,,,
"2017-01-06,五",23.35,3154.32,0.002569593,0.005364072,0.005384735,-0.002815141,0.002569593,,,,
"2017-01-09,一",23.41,3171.24,-0.005126015,-0.003017747,-0.003029371,-0.002096643,-0.005126015,,,,
"2017-01-10,二",23.29,3161.67,0.018892228,-0.007881911,-0.007912272,0.0268045,0.018892228,,,,
"2017-01-11,三",23.73,3136.75,-0.000421408,-0.005566271,-0.005587712,0.005166305,-0.000421408,,,,
